instance_name,type,n,R,num_anchors,alpha,edge_density,infeas_strategy,infeas_base,box_scale,log_domain_sum_orig,log_domain_sum_ps,num_quadratic_constraints_orig,num_quadratic_constraints_ps,num_linear_constraints_orig,num_linear_constraints_ps,parity_presolve_time,residue_presolve_time,num_parity_substitutions,num_pattern_substitutions,num_variables_fixed,num_constraints_tightened,num_constraints_eq_tightened,avg_relative_bound_tightening,infeasibility_detected,infeasibility_source
con_40,2_connected,100,100,3,0.0,0.1,,,,1470.5159046278638,25.083063744716007,882,23,6,0,1.1795578002929688,0.002964019775390625,1393,141,192,4,0,0.0,false,none
con_41,2_connected,20,100,0,0.01,0.2,,,,298.30880003295874,296.3160588797601,127,69,5,1,0.03577709197998047,0.7389280796051025,0,0,0,56,0,0.0331425906490103,false,none
con_42,2_connected,20,100,0,0.01,0.2,,,,320.02659182143196,318.03195999057436,127,67,5,1,0.037197113037109375,0.7292399406433105,0,0,0,57,0,0.03569976898942081,false,none
con_43,2_connected,20,100,0,0.01,0.2,,,,295.3273724574401,293.3348962950326,127,68,5,1,0.04000282287597656,0.7260408401489258,0,0,0,58,1,0.09086075331764437,false,none
con_44,2_connected,20,100,0,0.01,0.2,,,,293.59180767777355,291.5989585862212,127,64,5,1,0.03621196746826172,0.6416990756988525,0,0,0,54,0,0.04538236551015622,false,none
con_45,2_connected,20,100,0,0.01,0.2,,,,294.4242749434259,290.6179785555806,127,67,5,1,0.06963086128234863,0.6279921531677246,2,0,0,53,0,0.029345141662075355,false,none
con_46,2_connected,20,100,0,0.01,0.2,,,,303.72702247215284,301.7344304096797,127,64,5,1,0.03561997413635254,0.6603798866271973,0,0,0,59,1,0.04332938334971162,false,none
con_47,2_connected,20,100,0,0.01,0.2,,,,312.6812273350826,309.79964533062895,127,67,5,5,0.09740591049194336,0.7189829349517822,2,2,0,59,1,0.035563746329561025,false,none
con_48,2_connected,20,100,0,0.01,0.2,,,,306.567564291147,304.5742203265825,127,65,5,1,0.03846406936645508,0.6801660060882568,0,0,0,49,0,0.022375320967148293,false,none
con_49,2_connected,20,100,0,0.01,0.2,,,,316.1177197181942,312.14281614434566,127,70,5,9,0.17098164558410645,0.9912910461425781,4,4,0,61,1,0.06324923923746885,false,none
con_50,2_connected,20,100,0,0.01,0.2,,,,292.74291681859785,290.75107917222147,127,66,5,1,0.03438305854797363,0.7338230609893799,0,0,0,55,0,0.04221523540061012,false,none
con_51,2_connected,100,100,0,0.01,0.1,,,,1590.7831731750991,1584.8313265008524,1269,671,5,17,0.39238810539245605,9.41415286064148,8,8,0,548,2,0.0424009710498058,false,none
con_52,2_connected,100,100,0,0.01,0.1,,,,1549.241552094442,1539.3505772128797,1269,671,5,33,0.37395715713500977,10.850111961364746,16,16,0,568,7,0.060267868313909206,false,none
con_53,2_connected,100,100,0,0.01,0.1,,,,1543.1394419747014,1533.8622873235681,1269,667,5,33,0.5998027324676514,8.248796939849854,16,16,0,558,3,0.055768324360296,false,none
con_54,2_connected,100,100,0,0.01,0.1,,,,1546.0639495058222,1537.4903448489151,1269,667,5,29,0.3332548141479492,9.662142753601074,14,14,0,553,5,0.05207012537534104,false,none
con_55,2_connected,100,100,0,0.01,0.1,,,,1521.3520033563389,1517.8241910823701,1269,669,5,9,0.3438420295715332,8.199836015701294,4,4,0,560,2,0.048254982369814216,false,none
con_56,2_connected,100,100,0,0.01,0.1,,,,1573.5676722539376,1561.8893835411645,1269,668,5,41,0.6076011657714844,9.208065032958984,20,20,0,566,3,0.05340684862342097,false,none
con_57,2_connected,100,100,0,0.01,0.1,,,,1581.6595274259187,1577.6863065872571,1269,666,5,9,0.34214091300964355,9.534740924835205,4,4,0,556,3,0.04529765874859991,false,none
con_58,2_connected,100,100,0,0.01,0.1,,,,1540.7452557709562,1535.8652040533584,1269,670,5,13,0.26696085929870605,9.110440254211426,6,6,0,566,4,0.04717932337091852,false,none
con_59,2_connected,100,100,0,0.01,0.1,,,,1552.4494599764635,1542.5847238101276,1269,674,5,33,0.40609002113342285,9.220365047454834,16,16,0,562,2,0.047657146501821505,false,none
con_60,2_connected,100,100,0,0.01,0.1,,,,1572.9244614013148,1553.2522141539794,1269,671,5,73,0.7279369831085205,9.435647964477539,36,36,0,527,3,0.04401616736235932,false,none
con_61,2_connected,20,100,3,0.01,0.2,,,,249.38250582187493,249.38250582187493,165,89,6,0,0.057988882064819336,0.5846340656280518,0,0,0,72,0,0.04363137301015066,false,none
con_62,2_connected,20,100,3,0.01,0.2,,,,252.8782614669219,252.8782614669219,165,91,6,0,0.05581498146057129,0.556096076965332,0,0,0,73,0,0.025851919266248392,false,none
con_63,2_connected,20,100,3,0.01,0.2,,,,267.15867093323425,267.15867093323425,165,91,6,0,0.05681800842285156,0.5571300983428955,0,0,0,69,1,0.0640391150415811,false,none
con_64,2_connected,20,100,3,0.01,0.2,,,,254.84610504869087,252.89445054715253,165,88,6,8,0.12459707260131836,0.613476037979126,4,4,0,64,0,0.04718533732094697,false,none
con_65,2_connected,20,100,3,0.01,0.2,,,,245.93872821117887,243.96309325565034,165,91,6,8,0.10215210914611816,0.7372758388519287,4,4,0,66,0,0.042153065056483134,false,none
con_66,2_connected,20,100,3,0.01,0.2,,,,238.8915048387887,238.10533524662173,165,88,6,4,0.12056088447570801,0.5799160003662109,2,2,0,68,0,0.035713533185588266,false,none
con_67,2_connected,20,100,3,0.01,0.2,,,,247.59927717947994,247.59927717947994,165,88,6,0,0.0544581413269043,0.482496976852417,0,0,0,70,0,0.033153362561213116,false,none
con_68,2_connected,20,100,3,0.01,0.2,,,,232.5041212572825,230.86026506750775,165,85,6,4,0.16541719436645508,0.53985595703125,4,2,0,66,0,0.03173023823339863,false,none
con_69,2_connected,20,100,3,0.01,0.2,,,,228.96762208369512,228.96762208369512,165,86,6,0,0.05580782890319824,0.5063040256500244,0,0,0,63,0,0.084395400521287,false,none
con_70,2_connected,20,100,3,0.01,0.2,,,,273.95193323864765,273.95193323864765,165,94,6,0,0.056591033935546875,0.6200411319732666,0,0,0,75,0,0.057000963882125694,false,none
con_71,2_connected,100,100,3,0.01,0.1,,,,1396.1139528515635,1392.0102530085908,1467,846,6,12,0.5927228927612305,8.571352005004883,8,6,0,673,1,0.04610707465026719,false,none
con_72,2_connected,100,100,3,0.01,0.1,,,,1390.9789556624048,1387.028432657934,1467,844,6,16,0.3255171775817871,9.482221841812134,8,8,0,686,3,0.04544786072624868,false,none
con_73,2_connected,100,100,3,0.01,0.1,,,,1414.1540931963173,1400.7592540415958,1467,835,6,56,0.6145401000976562,7.71644401550293,28,28,0,619,3,0.05856574478329547,false,none
con_74,2_connected,100,100,3,0.01,0.1,,,,1496.6012934135315,1490.6894066233942,1467,843,6,20,0.37688493728637695,9.707516193389893,10,10,0,667,7,0.06425849312302574,false,none
con_75,2_connected,100,100,3,0.01,0.1,,,,1382.5088812055994,1366.5586695491559,1467,839,6,68,1.2278242111206055,7.802181005477905,34,34,0,624,3,0.050051789250960516,false,none
con_76,2_connected,100,100,3,0.01,0.1,,,,1440.6202169524904,1428.8220368090138,1467,833,6,48,0.6711359024047852,8.558825016021729,24,24,0,669,4,0.057871368954013555,false,none
con_77,2_connected,100,100,3,0.01,0.1,,,,1420.2811935740656,1414.6075362382435,1467,848,6,24,0.47107410430908203,8.098572969436646,12,12,0,658,1,0.04648300156892308,false,none
con_78,2_connected,100,100,3,0.01,0.1,,,,1440.9822256861792,1439.0774929322154,1467,836,6,8,0.2980539798736572,8.44399118423462,4,4,0,671,1,0.04547838988162637,false,none
con_79,2_connected,100,100,3,0.01,0.1,,,,1406.4455092617147,1394.7082176229635,1467,838,6,48,0.7535500526428223,7.962011098861694,24,24,0,609,2,0.04493010504723383,false,none
con_80,2_connected,100,100,3,0.01,0.1,,,,1353.1220128473503,1340.4998481278456,1467,825,6,54,0.9618830680847168,7.275783061981201,28,28,1,633,3,0.07458575590698234,false,none
lam_1,laman,20,100,0,0.0,,,,,321.1217631322034,266.62744975115055,56,51,5,125,0.3450760841369629,0.6354460716247559,70,62,0,10,0,0.0,false,none
lam_2,laman,20,100,0,0.0,,,,,274.8840228538573,225.18504590397208,56,51,5,77,0.35510897636413574,0.3995699882507324,62,40,2,2,0,0.0,false,none
lam_3,laman,20,100,0,0.0,,,,,307.9933842902922,267.2305592328373,56,50,5,61,0.15922808647155762,0.5061080455780029,51,31,1,7,0,0.0,false,none
lam_4,laman,20,100,0,0.0,,,,,304.42211420665444,250.5891094759193,56,52,5,85,0.34171295166015625,0.514854907989502,67,43,1,9,0,0.0,false,none
lam_5,laman,20,100,0,0.0,,,,,290.7493681949425,247.25505098780656,56,53,5,85,0.32520198822021484,0.31357502937316895,58,42,0,6,0,0.0,false,none
lam_6,laman,20,100,0,0.0,,,,,300.5401752925591,241.94743971979136,56,50,5,113,0.5060861110687256,0.26747798919677734,77,57,1,7,0,0.0,false,none
lam_7,laman,20,100,0,0.0,,,,,290.53701476851256,242.514340317702,56,51,5,109,0.27424001693725586,0.3900580406188965,60,54,0,6,0,0.0,false,none
lam_8,laman,20,100,0,0.0,,,,,299.34476626875426,246.84648429541485,56,48,5,85,0.24939608573913574,0.24462509155273438,63,43,1,8,0,0.0,false,none
lam_9,laman,20,100,0,0.0,,,,,326.1834999761574,276.5949223715489,56,53,5,81,0.27019500732421875,0.36655497550964355,62,40,0,5,0,0.0,false,none
lam_10,laman,20,100,0,0.0,,,,,302.6339369221099,256.0946380231181,56,48,5,61,0.2452409267425537,0.5037500858306885,54,32,2,6,0,0.0,false,none
lam_11,laman,100,100,0,0.0,,,,,1702.483467182788,1448.0997146657203,296,285,5,513,0.948699951171875,2.440152168273926,324,260,4,52,0,0.0,false,none
lam_12,laman,100,100,0,0.0,,,,,1686.2965607372753,1383.009034732735,296,288,5,545,1.2478110790252686,1.7559399604797363,368,289,16,43,0,0.0,false,none
lam_13,laman,100,100,0,0.0,,,,,1758.646130598536,1473.0988184487799,296,289,5,505,1.318763017654419,2.373027801513672,363,263,11,47,0,0.0,false,none
lam_14,laman,100,100,0,0.0,,,,,1716.0011676745034,1445.4480524702817,296,289,5,449,0.7366518974304199,2.2735400199890137,319,230,5,44,0,0.0,false,none
lam_15,laman,100,100,0,0.0,,,,,1655.2855118849016,1360.322909189806,296,288,5,571,0.8367798328399658,1.732961893081665,376,300,12,48,0,0.0,false,none
lam_16,laman,100,100,0,0.0,,,,,1709.8822691168184,1414.432083059062,296,287,5,489,0.7536699771881104,1.7071418762207031,370,262,18,48,0,0.0,false,none
lam_17,laman,100,100,0,0.0,,,,,1747.6016461317324,1457.6910991584084,296,293,5,449,0.663560152053833,2.0304360389709473,351,254,25,62,0,0.0,false,none
lam_18,laman,100,100,0,0.0,,,,,1671.7698674937617,1429.2920605061481,296,290,5,381,0.5665428638458252,2.929046154022217,308,199,8,46,0,0.0,false,none
lam_19,laman,100,100,0,0.0,,,,,1759.2672905699692,1454.9832756642863,296,289,5,503,0.5631229877471924,2.3514890670776367,364,271,13,52,0,0.0,false,none
lam_20,laman,100,100,0,0.0,,,,,1730.599524851276,1452.2459569351647,296,289,5,477,0.7913291454315186,2.536336898803711,342,247,8,52,0,0.0,false,none
lam_21,laman,20,100,3,0.0,,,,,252.06880897206457,153.937503461593,94,65,6,56,0.3424959182739258,0.9769091606140137,114,42,11,19,0,0.02,false,none
lam_22,laman,20,100,3,0.0,,,,,249.45015113951752,0.0,94,0,6,0,1.1568100452423096,9.5367431640625e-7,294,124,74,0,0,0.0,false,none
lam_23,laman,20,100,3,0.0,,,,,283.47408997301585,242.85162860943598,94,82,6,61,0.27767515182495117,0.9169168472290039,51,34,3,34,0,0.0,false,none
lam_24,laman,20,100,3,0.0,,,,,258.08460179122744,208.02625606678959,94,79,6,71,0.36183905601501465,0.36585092544555664,64,38,2,32,0,0.020833333333333332,false,none
lam_25,laman,20,100,3,0.0,,,,,260.61515219752073,90.816587213111,94,38,6,20,0.8029499053955078,0.04556107521057129,200,88,43,8,0,0.0,false,none
lam_26,laman,20,100,3,0.0,,,,,278.5713726426031,216.44836104387096,94,78,6,108,0.5533261299133301,0.7727818489074707,83,56,2,23,0,0.003976143141153081,false,none
lam_27,laman,20,100,3,0.0,,,,,268.1435945879733,139.74873375672757,94,49,6,9,0.8720238208770752,0.291212797164917,155,68,37,15,0,0.0,false,none
